PN,average_identity,weighted_identity,average_speed,average_read_len
L617,87.29990717220508,87.3413217008759,2.365524036097603,7714.043837053998
L617,87.29990717220508,87.3413217008759,2.365524036097603,7714.043837053998
L617,87.29990717220508,87.3413217008759,2.365524036097603,7714.043837053998
L617,87.29990717220508,87.3413217008759,2.365524036097603,7714.043837053998
L617,87.29990717220508,87.3413217008759,2.365524036097603,7714.043837053998
L617,87.29990717220508,87.3413217008759,2.365524036097603,7714.043837053998
L617,87.29990717220508,87.3413217008759,2.365524036097603,7714.043837053998
L617,87.29990717220508,87.3413217008759,2.365524036097603,7714.043837053998
L617,87.29990717220508,87.3413217008759,2.365524036097603,7714.043837053998
L617,87.29990717220508,87.3413217008759,2.365524036097603,7714.043837053998
L617,87.29990717220508,87.3413217008759,2.365524036097603,7714.043837053998
